word	segments	num_segments	lemma	suffix	pos	sentence
surullinen	surullinen	1	surullinen	nen	ADJ	Hän oli todella surullinen, huomattuaan lemmikkinsä kuolleen.
vihainen	vihainen	1	vihainen	nen	ADJ	Hän on todella vihainen sinulle.
äänen	ääne-n	2	ääni	nen	NOUN	Hän kuuli kaukaa tutun äänen.
arovuokkohan	arovuokko-han	2	arovuokkohan	han	PROPN	Arovuokkohan on yksi kauneimmista keväällä kukkivista kukista.
asiat	asia-t	2	asia	iat	NOUN	Pekka vakuutti itsensä siitä, että asiat ovat järjestyksessä.
avointa	avoin-ta	2	avoin	nta	ADJ	Hän etsii avointa työpaikkaa.
eli	el-i	2	eli	eli	CCONJ	Hän on minun paras ystäväni, eli hän on aina tukenani.
erityisrahoituksella	erityisrahoitukse-lla	2	erityisrahoituknen	lla	NOUN	Projekti toteutettiin erityisrahoituksella.
eronnut	eron-nut	2	erona	nut	VERB	Elokuvan uusi versio ei eronnut paljoa vanhasta.
hallitusratkaisut	hallitusratkaisu-t	2	hallitusratkaisu	sut	NOUN	Hallitusratkaisut vaikuttavat suoraan kansalaisten elämään.
hallitusratkaisut	hallitusratkaisu-t	2	hallitusratkaisut	sut	NOUN	Hallitusratkaisut vaikuttavat suoraan kansalaisten elämään.
jäi	jä-i	2	jäädä	jäi	VERB	Hän jäi odottamaan bussia.
kampanjoinut	kampanjoi-nut	2	kampanjoia	nut	VERB	Hän on kampanjoinut aktiivisesti viime aikoina.
kannattaa	kannatta-a	2	kannattaa	taa	VERB	Poiju kannattaa laituria veden päällä.
kannattajat	kannattaja-t	2	kannattaja	jat	NOUN	Jalkapallojoukkueen kannattajat juhlivat voittoa kaupungin keskustassa.
kauden	kaude-n	2	kausi	den	NOUN	Jalkapallojoukkue valmistautuu tulevaan kauteen intensiivisesti.
keskittynyt	keskitty-nyt	2	keskittyä	nyt	VERB	Muuttoliike on keskittynyt tiettyihin Euroopan valtioihin enemmän kuin toisiin.
kielelle	kiele-lle	2	kieli	lle	NOUN	Kirja käännettiin yli kymmenelle kielelle.
koki	kok-i	2	kokea	oki	VERB	Hän koki suurta iloa voittaessaan kilpailun.
kolmen	kolme-n	2	kolme	men	NUM	Hän saapui paikalle kolmen jälkeen.
kolmen	kolme-n	2	kolme	men	NUM	Hän saapui paikalle kolmen jälkeen.
kolmesta	kolme-sta	2	kolme	sta	NUM	Ohjelmaa järjestetään joka päivä kolmesta eteenpäin.
kommentoinut	kommentoi-nut	2	kommentoia	nut	VERB	Hän ei ole vielä kommentoinut asiaa.
loikki	loikk-i	2	loikki	kki	NOUN	Kani loikki nopeasti metsän läpi.
loitontaa	loitonta-a	2	loitonta	taa	ADJ	Voit loitontaa karttaa nähdäksesi koko kaupungin.
luopui	luopu-i	2	luopua	pui	VERB	Hän luopui maallisesta omaisuudestaan hyväntekeväisyyden vuoksi.
maanantaihin	maanantai-hin	2	maanantaihin	hin	NOUN	Minun täytyy palauttaa kirja kirjastoon ensi maanantaihin mennessä.
maanantaihin	maanantai-hin	2	maanantat	hin	NOUN	Minun täytyy palauttaa kirja kirjastoon ensi maanantaihin mennessä.
maanantaina	maanantai-na	2	maanantaina	ina	NOUN	Tapasin hänet maanantaina kaupungilla.
maanantaina	maanantai-na	2	maanantai	ina	NOUN	Tapasin hänet maanantaina kaupungilla.
neuvottelut	neuvottelu-t	2	neuvottelu	lut	NOUN	Neuvottelut alkoivat Säätytalolla maanantaina.
neuvottelut	neuvottelu-t	2	neuvottelu	lut	NOUN	Neuvottelut alkoivat Säätytalolla maanantaina.
nousukiitoa	nousukiito-a	2	nousukiito	toa	NOUN	Lentokone oli menossa täyttä nousukiitoa, kun sen käskettiinkin palata takaisin.
ollutkaan	ollut-kaan	2	olla	aan	AUX	En ollutkaan niin väsynyt kuin luulin.
ollutkaan	ollut-kaan	2	olla	aan	VERB	En ollutkaan niin väsynyt kuin luulin.
omasta	oma-sta	2	omasta	sta	ADJ	Omasta mielestäni tuo on kyllä ihan käypä suunnitelma.
omasta	oma-sta	2	oma	sta	ADJ	Omasta mielestäni tuo on kyllä ihan käypä suunnitelma.
onko	on-ko	2	olla	nko	AUX	Onko Suomessa kylmää kesäisin?
onko	on-ko	2	olla	nko	AUX	Onko Suomessa kylmää kesäisin?
osakkeen	osakkee-n	2	osake	een	NOUN	Hän osti osakkeen uudesta tornitalosta.
päivää	päivä-ä	2	päivä	vää	NOUN	Hyvää päivää, kuinka voin auttaa?
palaverin	palaveri-n	2	palaveri	rin	NOUN	Hän palasi kotiin tärkeän palaverin jälkeen.
palkata	palkat-a	2	palkata	ata	VERB	Voimme palkata uuden työntekijän ensi viikolla.
parlamentin	parlamenti-n	2	parlamentti	tin	NOUN	Parlamentin jäsenet äänestivät uuden lain puolesta.
parlamentin	parlamenti-n	2	parlamentti	tin	NOUN	Parlamentin jäsenet äänestivät uuden lain puolesta.
perussuomalaisen	perussuomalaise-n	2	perussuomalainen	sen	ADJ	Hän on perussuomalaisen puolueen jäsen.
perussuomalaisen	perussuomalaise-n	2	perussuomalainen	sen	NOUN	Hän on perussuomalaisen puolueen jäsen.
perussuomalaisten	perussuomalais-ten	2	perussuomalainen	ten	NOUN	Perussuomalaisten kannatus on kasvanut viime kuukausina.
perussuomalaisten	perussuomalais-ten	2	perussuomalainen	ten	NOUN	Perussuomalaisten kannatus on kasvanut viime kuukausina.
perussuomalaisten	perussuomalais-ten	2	perussuomalainen	ten	PROPN	Perussuomalaisten kannatus on kasvanut viime kuukausina.
perussuomalaisten	perussuomalais-ten	2	perussuomalaisten	ten	NOUN	Perussuomalaisten kannatus on kasvanut viime kuukausina.
pienin	pieni-n	2	piena	nin	ADJ	Euroopan pienin valtio lienee San Marino.
pienin	pieni-n	2	pieni	nin	ADJ	Euroopan pienin valtio lienee San Marino.
pitkän	pitkä-n	2	pitkä	kän	ADJ	Hän on ollut poissa pitkän aikaa.
plakkariin	plakkari-in	2	plakkari	iin	NOUN	Hän laittoi puhelimensa takaisin plakkariin.
prosenttiin	prosentti-in	2	prosentti	iin	NOUN	Inflaatio nousi viiteen prosenttiin viime kuussa.
puolestaan	puolesta-an	2	puolestaan	aan	ADV	Hänen puolestaan asialla ei ollut merkitystä.
ratkaisua	ratkaisu-a	2	ratkaisu	sua	NOUN	Etsimme edelleen ongelmaan ratkaisua.
säätöä	säätö-ä	2	säätö	töä	NOUN	Tässä projektissa on ollut todella paljon säätöä.
salaukset	salaukse-t	2	salauknen	set	NOUN	Tietokoneiden salaukset ovat tärkeitä tietoturvan kannalta.
seitsemältä	seitsemä-ltä	2	seitsemä	ltä	NUM	Hän herää joka aamu seitsemältä.
silloisesta	silloise-sta	2	silloinen	sta	ADJ	Hän muisti kuitenkin asioita silloisesta elämästään.
sosiaalisen	sosiaalise-n	2	sosiaalinen	sen	ADJ	Hän on erittäin aktiivinen sosiaalisen median käyttäjä.
suojattinsa	suojatti-nsa	2	suojatti	nsa	NOUN	Hän otti suojattinsa turvaan myrskyn alta.
suosituin	suositu-in	2	suosittu	uin	ADJ	Hän on luokkansa suosituin opiskelija.
suuren	suure-n	2	suuri	ren	ADJ	Hän sai suuren kunnianosoituksen työstään.
suuren	suure-n	2	suuri	ren	ADJ	Hän sai suuren kunnianosoituksen työstään.
taakseen	taakse-en	2	taakse	een	ADP	Hän katsoi taakseen ennen kuin ylitti tien.
taakseen	taakse-en	2	taakse	een	ADV	Hän katsoi taakseen ennen kuin ylitti tien.
tapahtunut	tapahtu-nut	2	tapahtua	nut	VERB	Mitä on tapahtunut sinun päiväsi aikana?
tehdään	teh-dään	2	tehdä	ään	VERB	Huomenna tehdään suuri siivous.
tiiminä	tiimi-nä	2	tiimi	inä	ADJ	Me työskentelemme tiiminä tämän projektin parissa.
tiiminä	tiimi-nä	2	tiimi	inä	NOUN	Me työskentelemme tiiminä tämän projektin parissa.
tulevaksi	tuleva-ksi	2	tulea	ksi	VERB	Hän säilöi hilloa purnukoihin tulevaksi talveksi.
tulevaksi	tuleva-ksi	2	tulevaksi	ksi	VERB	Hän säilöi hilloa purnukoihin tulevaksi talveksi.
uraa	ura-a	2	ura	raa	NOUN	Muutettuaan ulkomaille, hän teki uraa lääkärinä.
uudella	uude-lla	2	uusi	lla	ADJ	Hän osti uudella luottokortillaan uuden tietokoneen.
uusia	uusi-a	2	uusi	sia	ADJ	Hänellä on paljon uusia ideoita.
väen	väe-n	2	väen	äen	NOUN	Väen määrä kasvoi nopeasti tapahtuman aikana.
väen	väe-n	2	väe	äen	PROPN	Väen määrä kasvoi nopeasti tapahtuman aikana.
vaivautunut	vaivautu-nut	2	vaivautua	nut	VERB	Hän näytti vaivautuneelta koko illan.
valinnut	valin-nut	2	valita	nut	VERB	Olen valinnut sinut olemaan ystäväni.
vasemmistoliitolle	vasemmistoliito-lle	2	vasemmistoliitolle	lle	NOUN	Anna äänesi Vasemmistoliitolle seuraavissa vaaleissa.
vasemmistoliitolle	vasemmistoliito-lle	2	vasemmistoliitolle	lle	PROPN	Anna äänesi Vasemmistoliitolle seuraavissa vaaleissa.
vasemmistoliitolle	vasemmistoliito-lle	2	vasemmistoliito	lle	NOUN	Anna äänesi Vasemmistoliitolle seuraavissa vaaleissa.
vasemmiston	vasemmisto-n	2	vasemmisto	ton	NOUN	Vasemmiston ehdokas voitti vaalit.
vasemmiston	vasemmisto-n	2	vasemmisto	ton	PROPN	Vasemmiston ehdokas voitti vaalit.
vieraaksi	vieraa-ksi	2	vieraa	ksi	NOUN	Hän tunsi itsensä vieraaksi omassa kodissaan.
vuoksi	vuo-ksi	2	vuoksi	ksi	ADP	Hän joutui lähtemään töistä aikaisin sairauden vuoksi.
yksinkertaisella	yksinkertaise-lla	2	yksinkertainen	lla	ADJ	Voit ratkaista tämän ongelman yksinkertaisella tavalla.
yksinkertaista	yksin-kertaista	2	yksinkertainen	sta	ADJ	Tämä on hyvin yksinkertaista.
ymmärtänyt	ymmärtä-nyt	2	ymmärtää	nyt	VERB	En ymmärtänyt kaikkea, mitä sanoit.
yöpaikka	yö-paikka	2	yöpaikka	kka	NOUN	Tuolla saattaa olla seuraava yöpaikka.
äänestämään	äänestä-mä-än	3	äänestää	ään	VERB	Menemme huomenna äänestämään vaaleissa.
äänimäärän	ääni-määrä-n	3	äänimäärä	rän	NOUN	Hän voitti vaalit suurella äänimäärän erolla.
aikoina	aiko-i-na	3	aika	ina	NOUN	Viime aikoina olen lukenut paljon kirjoja.
aikojen	aiko-j-en	3	aika	jen	NOUN	Tämä on parhaita hetkiä ihmisen elämässä.
ajateltua	ajatel-tu-a	3	ajatella	tua	VERB	Voikin olla paljon ajateltua vaikeampaa kiivetä vuoren päälle.
ajateltua	ajatel-tu-a	3	ajateltua	tua	VERB	Voikin olla paljon ajateltua vaikeampaa kiivetä vuoren päälle.
aktivoituneet	aktivoitu-nee-t	3	aktivoitua	eet	VERB	Immuunijärjestelmämme solut ovat aktivoituneet taistelemaan infektiota vastaan.
aktivoituneet	aktivoitu-nee-t	3	aktivoituä	eet	VERB	Immuunijärjestelmämme solut ovat aktivoituneet taistelemaan infektiota vastaan.
alapuolelle	ala-puole-lle	3	alapuolelle	lle	ADP	Hän asetti kirjan pöydän alapuolelle.
antavaa	anta-va-a	3	antaa	vaa	VERB	Tämä on antavaa ja otavaa suhdetta vaativa tilanne.
antavaa	anta-va-a	3	antava	vaa	ADJ	Tämä on antavaa ja otavaa suhdetta vaativa tilanne.
asioita	asio-i-ta	3	asia	ita	NOUN	On monia asioita, joita en ymmärrä tässä maailmassa.
asuntolainaa	asunto-laina-a	3	asuntolaina	naa	NOUN	Hän haki pankista asuntolainaa ostaa uuden talon.
eiköhän	ei-kö-hän	3	eiköhän	hän	ADV	Eiköhän meidän pitäisi lähteä jo kotiin.
ensin	ens-i-n	3	ensin	sin	ADV	Sinun täytyy ensin oppia kävelemään ennen kuin voit juosta.
europarlamentaarikkoa	euro-parlamentaarikko-a	3	europarlamentaarikko	koa	NOUN	Kansa äänesti entistä europarlamentaarikkoa sankoin joukoin.
europarlamenttipaikkaa	euro-parlamenttipaikka-a	3	europarlamenttipaikka	kaa	NOUN	Hän kampanjoi aktiivisesti saamatta kuitenkaan europarlamenttipaikkaa.
eurovaaleja	eurovaale-j-a	3	eurovaaleja	eja	NOUN	Eurovaaleja ei ole sopivaa jättää väliin.
eurovaaleja	eurovaale-j-a	3	eurovaali	eja	NOUN	Eurovaaleja ei ole sopivaa jättää väliin.
hyvillä	hyv-i-llä	3	hyvä	llä	ADJ	Olen hyvillä mielin, koska sain työpaikan.
itselleen	itse-lle-en	3	itse	een	PRON	Hän osti itselleen uuden auton.
jääneet	jää-nee-t	3	jäädä	eet	VERB	Monet tehtävät ovat jääneet tekemättä.
jalkojen	jalko-j-en	3	jalka	jen	NOUN	Jalkojen anatomia eroaa huomattavasti esimerkiksi sisäelinten anatomiasta.
jalkojen	jalko-j-en	3	jalkojen	jen	NOUN	Jalkojen anatomia eroaa huomattavasti esimerkiksi sisäelinten anatomiasta.
keräämää	kerää-mä-ä	3	keräämää	mää	VERB	Ihmisten keräämää kulttuuriperintöä osattiin siirtää eteenpäin jo ennen kirjoitustaidon kehittymistä.
keskiviikkona	keski-viikko-na	3	keskiviikko	ona	NOUN	Tapasin hänet keskiviikkona kaupungilla.
keskuspankin	keskus-panki-n	3	keskuspankin	kin	NOUN	Keskuspankin tehtävänä on säädellä maan rahapolitiikkaa.
keskuspankin	keskus-panki-n	3	keskuspankki	kin	NOUN	Keskuspankin tehtävänä on säädellä maan rahapolitiikkaa.
kielitieteeseen	kieli-tietee-seen	3	kielitieteeseen	een	NOUN	Hänen mielenkiintonsa ja intohimonsa kohdistui erityisesti kielitieteeseen.
kokopitkän	koko-pitkä-n	3	kokopitkä	kän	ADJ	Hän katsoi kokopitkän elokuvan ilman taukoja.
korkeimmillaankin	korkeimmilla-an-kin	3	korkeimmillaankin	kin	ADJ	Korkeimmillaankin hinta oli ainoastaan muutamia kymppejä.
kortein	korte-i-n	3	korte	ein	NOUN	Isäni pelasi aina avoimin kortein.
koviksi	kov-i-ksi	3	kovä	ksi	ADJ	Pakkasen vuoksi vesi muuttui koviksi jääkuutioiksi.
kymmenkertaisena	kymmen-kertaise-na	3	kymmenkertainen	ena	ADJ	Hän palasi kotiin kymmenkertaisena mestarina.
kysymyksiä	kysymyks-i-ä	3	kysymys	siä	NOUN	Minulla on muutamia kysymyksiä sinulle.
lähtevät	lähte-vä-t	3	lähteä	vät	VERB	Junat lähtevät asemalta tunnin välein.
liittymisestä	liitty-mise-stä	3	liittyminen	stä	NOUN	Hän kysyi minulta salaseuraan liittymisestä.
luokitellaankin	luokitel-laan-kin	3	luokitellaankin	kin	VERB	Tehtävä ei ole monimutkainen ja se luokitellaankin usein helpoksi.
miltäköhän	miltä-kö-hän	3	miltäköhän	hän	ADJ	Miltäköhän se maistuu?
monissa	mon-i-ssa	3	monissa	ssa	PRON	Monissa maissa on erilaisia kulttuureja ja tapoja.
monissa	mon-i-ssa	3	moni	ssa	PRON	Monissa maissa on erilaisia kulttuureja ja tapoja.
nousseet	nous-see-t	3	nousta	eet	VERB	Hinnat ovat nousseet viime kuukausina.
objektiivisemman	objektiivise-mma-n	3	objektiivisemman	man	ADJ	Hän pyrkii saamaan objektiivisemman kuvan tilanteesta.
ollaankin	ol-laan-kin	3	ollaankin	kin	AUX	Siellä ollaankin oltu valmiina jo hyvän aikaa.
omistavan	omista-va-n	3	omistaa	van	VERB	Näin siellä auton omistavan miehen.
onkohan	on-ko-han	3	onkohan	han	AUX	Onkohan hän jo saapunut?
päiviä	päiv-i-ä	3	päivä	viä	NOUN	Olen ollut täällä jo useita päiviä.
paljokohan	paljo-ko-han	3	paljokohan	han	ADV	Paljokohan toi kirja maksaa?
pitäisikö	pitä-isi-kö	3	pitää	ikö	AUX	Pitäisikö meidän mennä elokuviin tänä iltana?
pitäisikö	pitä-isi-kö	3	pitäisikö	ikö	AUX	Pitäisikö meidän mennä elokuviin tänä iltana?
prosenttiyksikköä	prosentti-yksikkö-ä	3	prosenttiyksikkö	köä	NOUN	Inflaatio nousi viime kuussa kaksi prosenttiyksikköä.
puolueellisuusspekulaatioita	puolueellisuusspekulaatio-i-ta	3	puolueellisuusspekulaatio	ita	NOUN	Oikeudenkäyntiin liittyi mediajulkisuudesta johtuen lukuisia puolueellisuusspekulaatioita.
puoluekokouksessa	puolue-kokoukse-ssa	3	puoluekokous	ssa	NOUN	Hän puhui puoluekokouksessa ensimmäistä kertaa ehdokkaana.
rakensivat	rakens-i-vat	3	rakentaa	vat	VERB	He rakensivat uuden talon kaupungin keskustaan.
satoihin	sato-i-hin	3	sata	hin	NUM	Hänellä on pääsy satoihin erilaisiin kirjoihin.
soitellaankin	soitel-laan-kin	3	soitellaankin	kin	VERB	Huomenna soitellaankin sitten pitkästä aikaa.
suhteutettuna	suhteutet-tu-na	3	suhteutettuna	una	VERB	Suhteutettuna väkilukuun, Suomessa on enemmän metsää kuin missään muussa Euroopan maassa.
suhteutettuna	suhteutet-tu-na	3	suhteuttaa	una	VERB	Suhteutettuna väkilukuun, Suomessa on enemmän metsää kuin missään muussa Euroopan maassa.
tahtovat	tahto-va-t	3	tahtoa	vat	AUX	Lapset tahtovat mennä ulos leikkimään.
tahtovat	tahto-va-t	3	tahtoa	vat	VERB	Lapset tahtovat mennä ulos leikkimään.
tarkoitetut	tarkoitet-u-t	3	tarkoittaa	tut	VERB	Opiskeluun tarkoitetut tilat löytyvät tuolta nurkan takaa.
tehtävätkin	tehtävä-t-kin	3	tehtävä	kin	NOUN	Tehtävätkin tuntuvat vaikealta, kun huoneessa on kuuma.
tehtävätkin	tehtävä-t-kin	3	tehtävätkin	kin	NOUN	Tehtävätkin tuntuvat vaikealta, kun huoneessa on kuuma.
tehtäviä	tehtäv-i-ä	3	tehtävä	viä	NOUN	Ylioppilaskirjoituksissa oli viime vuonna paljon vaikeita tehtäviä.
tekemään	teke-mä-än	3	tehdä	ään	VERB	Hän meni keittiöön tekemään aamiaista.
tietokoneella	tieto-konee-lla	3	tietokone	lla	NOUN	Hän työskentelee tietokoneella koko päivän.
tilanneet	tilan-nee-t	3	tilana	eet	VERB	He ovat tilanneet kaiken tarvittavan.
tilanneet	tilan-nee-t	3	tilanä	eet	VERB	He ovat tilanneet kaiken tarvittavan.
todennäköisenä	toden-näköise-nä	3	todennäköinen	enä	ADJ	Pidän hyvin todennäköisenä, että hän voittaa kilpailun.
toimiiko	toimi-i-ko	3	toimiiko	iko	AUX	Toimiiko uusi tietokoneesi kunnolla?
toimiiko	toimi-i-ko	3	toimiiko	iko	VERB	Toimiiko uusi tietokoneesi kunnolla?
toukokuun	touko-kuu-n	3	toukokuu	uun	NOUN	Toukokuun kymmenes päivä on äitienpäivä.
toukokuun	touko-kuu-n	3	toukokuu	uun	NOUN	Toukokuun kymmenes päivä on äitienpäivä.
tulleet	tul-lee-t	3	tulla	eet	VERB	Olemme tulleet juhlimaan kanssasi.
tuotevalikoiman	tuote-valikoima-n	3	tuotevalikoima	man	NOUN	Yrityksen laaja tuotevalikoiman houkuttelee monia asiakkaita.
tutkijanuraa	tutkijan-ura-a	3	tutkijanura	raa	NOUN	Hän on luonut tutkijanuraa Englannissa.
uurnille	uurn-i-lle	3	uurna	lle	NOUN	Menimme uurnille laskemaan kukkia.
vaalikaudella	vaali-kaude-lla	3	vaalikaudella	lla	NOUN	Presidentti teki merkittäviä päätöksiä viime vaalikaudella.
vaalikaudella	vaali-kaude-lla	3	vaalikaude	lla	NOUN	Presidentti teki merkittäviä päätöksiä viime vaalikaudella.
vähäisiä	vähäis-i-ä	3	vähäinen	siä	ADJ	Hänellä on vain vähäisiä mahdollisuuksia voittaa peli.
vahvuuksia	vahvuuks-i-a	3	vahvuus	sia	NOUN	Jokaisella meistä on joitain vahvuuksia.
viestivät	viesti-vä-t	3	viestiä	vät	VERB	He viestivät minulle uutisia kotikaupungistani.
vuosista	vuos-i-sta	3	vuosi	sta	NOUN	Kiitos ihanista vuosista opiskeluaikoinamme!
vuosista	vuos-i-sta	3	vuos	sta	NOUN	Kiitos ihanista vuosista opiskeluaikoinamme!
äännevaihteluiden	äänne-vaihtelu-i-den	4	äännevaihteluiden	den	NOUN	Äännevaihteluiden ymmärtäminen on tärkeää suomen kielen oppimisessa.
äännevaihteluiden	äänne-vaihtelu-i-den	4	äännevaihteluiden	den	NOUN	Äännevaihteluiden ymmärtäminen on tärkeää suomen kielen oppimisessa.
aiheuttaakohan	aiheutta-a-ko-han	4	aiheuttaakohan	han	VERB	Aiheuttaakohan tämä lääke sivuvaikutuksia?
ajattelevia	ajattele-v-i-a	4	ajattelea	via	VERB	Hän vetää puoleensa samalla tavoin ajattelevia ihmisiä.
ajattelevia	ajattele-v-i-a	4	ajatteleva	via	VERB	Hän vetää puoleensa samalla tavoin ajattelevia ihmisiä.
ajattelikohan	ajattel-i-ko-han	4	ajattelikohan	han	PROPN	Ajattelikohan hän koskaan palata kotiin?
auttaisikohan	autta-isi-ko-han	4	auttaisikohan	han	ADV	Auttaisikohan se, jos soittaisin tekniseen tukeen?
ehtisköhän	eht-is-kö-hän	4	ehtisköhän	hän	NOUN	Ehtisköhän sitä vielä ostaa ruokaa ennen kaupan sulkemista?
ennallistamissääntelylle	ennallista-mis-sääntely-lle	4	ennallistamissääntelylle	lle	ADJ	Hallitus on asettanut uusia rajoituksia ennallistamissääntelylle.
esitutkintapöytäkirjat	esi-tutkintapöytä-kirja-t	4	esitutkintapöytäkirja	jat	NOUN	Esitutkintapöytäkirjat ovat kaikkien nähtävillä osana oikeudenkäyntiä.
esitutkintapöytäkirjat	esi-tutkintapöytä-kirja-t	4	esitutkintapöytäkirja	jat	NOUN	Esitutkintapöytäkirjat ovat kaikkien nähtävillä osana oikeudenkäyntiä.
havaittuja	havait-tu-j-a	4	havaittuja	uja	VERB	Hän on tutkinut havaittuja ilmiöitä luonnossa.
henkilötyövuoden	henkilö-työ-vuode-n	4	henkilötyövuos	den	NOUN	Yritys käytti viime vuonna yhteensä 500 henkilötyövuoden verran työvoimaa.
jäädäkseen	jääd-ä-kse-en	4	jäädä	een	AUX	Hän opiskeli ahkerasti ranskaa jäädäkseen Kanadaan.
jäädäkseen	jääd-ä-kse-en	4	jäädä	een	VERB	Hän opiskeli ahkerasti ranskaa jäädäkseen Kanadaan.
jaksaisikohan	jaksa-isi-ko-han	4	jaksaisikohan	han	VERB	Jaksaisikohan hän kävellä koko matkan kotiin?
johtuisikohan	johtu-isi-ko-han	4	johtuisikohan	han	ADV	Johtuisikohan tämä ongelma vanhentuneesta ohjelmistosta?
johtuiskohan	johtu-is-ko-han	4	johtuiskohan	han	NOUN	Johtuiskohan tämä ongelma vanhentuneesta ohjelmistosta?
kannattaisikohan	kannatta-isi-ko-han	4	kannattaisikohan	han	VERB	Kannattaisikohan minun opiskella suomea?
kävisköhän	käv-is-kö-hän	4	kävisköhän	hän	VERB	Kävisköhän äidille, että kutsuisin hänet tänne väitöstilaisuuteeni.
kehitettyjen	kehitet-ty-j-en	4	kehitettyjen	jen	VERB	Tämä ohjelmisto on yksi viimeisimmistä kehitettyjen joukossa.
kehitettyjen	kehitet-ty-j-en	4	kehittää	jen	VERB	Tämä ohjelmisto on yksi viimeisimmistä kehitettyjen joukossa.
kiusallaankin	kiusa-lla-an-kin	4	kiusallaankin	kin	ADV	Hän teki sen kiusallaankin, vaikka tiesi sen olevan väärin.
kummallakohan	kumma-lla-ko-han	4	kummallakohan	han	ADV	Kummallakohan puolella tie on kuoppaisempi?
kuulostipas	kuulost-i-pa-s	4	kuulostipas	pas	VERB	Kuulostipas mielenkiintoiselta!
