word	segments	num_segments	lemma	pos	prefixes	root	suffixes	sentence
hallitusratkaisut	hallitus-ratkaisu-t	3	hallitusratkaisut	NOUN	hallitus	ratkaisu	t	Hallitusratkaisut vaikuttavat suoraan kansalaisten elämään.
tilanneet	tilan-nee-t	3	tilata	VERB		tilan	nee-t	He ovat tilanneet kaiken tarvittavan.
rakensivat	rakens-i-vat	3	rakentaa	VERB		rakens	i-vat	He rakensivat uuden talon kaupungin keskustaan.
viestivät	viesti-vä-t	3	viestiä	VERB		viesti	vä-t	He viestivät minulle uutisia kotikaupungistani.
heikoimmillaankin	heiko-imm-i-lla-an-kin	6	heikko	ADV		heiko	imm-i-lla-an-kin	Heikoimmillaankin olemme vahvempia kuin yksikään muu joukkue.
otsallaankin	otsa-lla-an-kin	4	otsa	NOUN		otsa	lla-an-kin	Hiki näkyi jo hänen otsallaankin.
nousseet	nous-see-t	3	nousta	ADJ		nous	see-t	Hinnat ovat nousseet viime kuukausina.
hitaimmillaankin	hita-imm-i-lla-an-kin	6	hidas	ADV		hita	imm-i-lla-an-kin	Hitaimmillaankin hän ymmärsi, mistä oli kyse.
soitellaankin	soitel-laan-kin	3	soitella	VERB		soitel	laan-kin	Huomenna soitellaankin sitten pitkästä aikaa.
tehdään	teh-dään	2	tehdä	VERB		teh	dään	Huomenna tehdään suuri siivous.
huonoimmillaankin	huono-imm-i-lla-an-kin	6	huono	ADV		huono	imm-i-lla-an-kin	Huonoimmillaankin se on parempi vaihtoehto kuin monet muut.
päivää	päivä-ä	2	päivä	NOUN		päivä	ä	Hyvää päivää, kuinka voin auttaa?
presidentinvaaleissa	president-in-vaale-i-ssa	5	presidentinvaalit	NOUN	president-in	vaale	i-ssa	Hän aikoo äänestää seuraavissa presidentinvaaleissa.
alapuolelle	ala-puole-lle	3	alapuoli	ADP	ala	puole	lle	Hän asetti kirjan pöydän alapuolelle.
kommentoinut	kommentoi-nut	2	kommentoida	VERB	nut	kommentoi		Hän ei ole vielä kommentoinut asiaa.
mielipiteitään	mielipite-i-tä-än	4	mielipide	NOUN		mielipite	i-tä-än	Hän ei pelkää ilmaista mielipiteitään avoimesti.
eli	el-i	2	elää	VERB		el	i	Hän eli koko elämänsä Suomessa.
avointa	avoin-ta	2	avoin	ADJ		avoin		Hän etsii avointa työpaikkaa.
asuntolainaa	asunto-laina-a	3	asuntolaina	NOUN	asunto	laina	a	Hän haki pankista asuntolainaa ostaa uuden talon.
seitsemältä	seitsemä-ltä	2	seitsemän	NUM		seitsemä	ltä	Hän herää joka aamu seitsemältä.
silmiään	silm-i-ä-än	4	silmä	NOUN		silm	i-ä-än	Hän hieroi väsyneitä silmiään.
vuoksi	vuo-ksi	2	vuoksi	ADP		vuo	ksi	Hän joutui lähtemään töistä aikaisin sairauden vuoksi.
jäi	jä-i	2	jäädä	VERB		jä	i	Hän jäi odottamaan bussia.
tilintarkastustuomioistuimeen	tilin-tarkastus-tuomioistuim-een	4	tilintarkastustuomioistuin	NOUN	tilin-tarkastus	tuomioistuim	-een	Hän jätti valituksen tilintarkastustuomioistuimeen.
europarlamenttipaikkaa	euro-parlamenttipaikka-a	3	europarlamenttipaikka	NOUN	euro	parlamenttipaikka	a	Hän kampanjoi aktiivisesti saamatta kuitenkaan europarlamenttipaikkaa.
kokopitkän	koko-pitkä-n	3	kokopitkä	ADJ	koko	pitkä	n	Hän katsoi kokopitkän elokuvan ilman taukoja.
taakseen	taakse-en	2	taakse	ADV		taakse	en	Hän katsoi taakseen ennen kuin ylitti tien.
koki	kok-i	2	kokea	VERB		kok	i	Hän koki suurta iloa voittaessaan kilpailun.
äänen	ääne-n	2	ääni	NOUN		ääne	n	Hän kuuli kaukaa tutun äänen.
liittymisestä	liitty-mise-stä	3	liittyä	NOUN		liitty	mise-stä	Hän kysyi minulta salaseuraan liittymisestä.
luopui	luopu-i	2	luopua	VERB		luopu	i	Hän luopui maallisesta omaisuudestaan hyväntekeväisyyden vuoksi.
tekemään	teke-mä-än	3	tehdä	VERB		teke	mä-än	Hän meni keittiöön tekemään aamiaista.
silloisesta	silloi-se-sta	3	silloinen	ADJ		silloi	se-sta	Hän muisti kuitenkin asioita silloisesta elämästään.
näkyvimpiin	näkyv-imp-i-in	4	näkyvä	ADJ		näkyv	imp-i-in	Hän nousi yrityksensä näkyvimpiin rooleihin.
vaivautunut	vaivautu-nut	2	vaivautua	VERB		vaivautu	nut	Hän oli koko illan vaivautunut.
osoittavinaan	osoitta-v-ina-an	4	osoittaa	VERB		osoitta	v-ina-an	Hän oli osoittavinaan oikeaan suuntaan.
tietokoneohjelmien	tietokone-ohjelm-i-en	4	tietokoneohjelma	NOUN	tietokone	ohjelm	i-en	Hän on erikoistunut tietokoneohjelmien kehittämiseen.
sosiaalisen	sosiaali-sen	2	sosiaalinen	ADJ		sosiaalis	sen	Hän on erittäin aktiivinen sosiaalisen median käyttäjä.
raha-asioiden	raha-asio-i-den	3	raha-asia	NOUN	raha	asio	i-den	Hän on erittäin taitava raha-asioiden kanssa.
kampanjoinut	kampanjoi-nut	2	kampanjoida	VERB		kampanjoi	nut	Hän on kampanjoinut aktiivisesti viime aikoina.
suosituin	suositu-in	2	suosittu	ADJ		suositu	in	Hän on luokkansa suosituin opiskelija.
tutkijanuraa	tutkijan-ura-a	3	tutkijanura	NOUN	tutkija-n	ura		Hän on luonut tutkijanuraa Englannissa.
vaikutusvaltaisimman	vaikutus-valtais-imma-n	4	vaikutusvalta	ADJ	vaikutus	valtais	imma-n	Hän on maamme vaikutusvaltaisimman yrityksen toimitusjohtaja.
pitkän	pitkä-n	2	pitkä	ADJ		pitkä	n	Hän on ollut poissa pitkän aikaa.
perussuomalaisen	perussuomalais-en	2	perussuomalainen	ADJ		perussuomalais	en	Hän on perussuomalaisen puolueen jäsen.
havaittuja	havait-tu-j-a	4	havaita	ADJ		havait	tu-j-a	Hän on tutkinut havaittuja ilmiöitä luonnossa.
ulkoasiainvaliokunnan	ulko-asia-in-valiokunna-n	5	ulkoasiainvaliokunta	NOUN	ulko-asia-in	valiokunna	n	Hän on ulkoasiainvaliokunnan uusi jäsen.
jäädäkseen	jääd-ä-kse-en	4	jäädä	VERB		jääd	ä-kse-en	Hän opiskeli ahkerasti ranskaa jäädäkseen Kanadaan.
itselleen	itse-lle-en	3	itse	PRON		itse	lle-en	Hän osti itselleen uuden auton.
osakkeen	osakkee-n	2	osake	NOUN		osakkee	n	Hän osti osakkeen uudesta tornitalosta.
uudella	uude-lla	2	uusi	ADJ		uude	lla	Hän osti uudella luottokortillaan uuden tietokoneen.
suojattinsa	suojatti-nsa	2	suojatti	NOUN		suojatti	nsa	Hän otti suojattinsa turvaan myrskyn alta.
kymmenkertaisena	kymmen-kertaise-na	3	kymmenkertainen	ADJ	kymmen	kertaise	na	Hän palasi kotiin kymmenkertaisena mestarina.
palaverin	palaveri-n	2	palaveri	NOUN		palaveri	n	Hän palasi kotiin tärkeän palaverin jälkeen.
puoluekokouksessa	puolue-kokoukse-ssa	3	puoluekokous	NOUN	puolue	kokoukse	ssa	Hän puhui puoluekokouksessa ensimmäistä kertaa ehdokkaana.
objektiivisemman	objektiivise-mma-n	3	objektiivinen	ADJ		objektiivise	mma-n	Hän pyrkii saamaan objektiivisemman kuvan tilanteesta.
kolmen	kolme-n	2	kolme	NUM		kolme	n	Hän saapui paikalle kolmen jälkeen.
suuren	suure-n	2	suuri	ADJ		suure	n	Hän sai suuren kunnianosoituksen työstään.
tulevaksi	tule-va-ksi	3	tulla	VERB		tule	va-ksi	Hän säilöi hilloa purnukoihin tulevaksi talveksi.
kiusallaankin	kiusa-lla-an-kin	4	kiusa	NOUN		kiusa	lla-an-kin	Hän teki sen kiusallaankin, vaikka tiesi sen olevan väärin.
vieraaksi	viera-a-ksi	3	vieras	NOUN		viera	a-ksi	Hän tunsi itsensä vieraaksi omassa kodissaan.
päivittäistavarakaupan	päivittäis-tavara-kaupa-n	4	päivittäistavarakauppa	NOUN	päivittäis-tavara	kaupa	n	Hän työskentelee päivittäistavarakaupan kassalla.
tietokoneella	tieto-konee-lla	3	tietokone	NOUN	tieto	konee	lla	Hän työskentelee tietokoneella koko päivän.
ajattelevia	ajattele-v-i-a	4	ajatella	ADJ		ajattele	v-i-a	Hän vetää puoleensa samalla tavoin ajattelevia ihmisiä.
äänimäärän	äänimäärä-n	2	äänimäärä	NOUN		äänimäärä	n	Hän voitti vaalit suurella äänimäärän erolla.
uusia	uusi-a	2	uusi	ADJ		uusi	a	Hänellä on paljon uusia ideoita.
satoihin	sato-i-hin	3	sata	NUM		sato	i-hin	Hänellä on pääsy satoihin erilaisiin kirjoihin.
vähäisiä	vähäis-i-ä	3	vähäinen	ADJ		vähäis	i-ä	Hänellä on vain vähäisiä mahdollisuuksia voittaa peli.
kielitieteeseen	kieli-tietee-seen	3	kielitiede	NOUN	kieli	tietee	seen	Hänen mielenkiintonsa ja intohimonsa kohdistui erityisesti kielitieteeseen.
puolestaan	puole-sta	2	puoli	ADV		puole	sta-an	Hänen puolestaan asialla ei ollut merkitystä.
siskollaankin	sisko-lla-an-kin	4	sisko	NOUN		sisko	lla-an-kin	Hänen siskollaankin on enemmän rahaa kuin minulla.
keräämää	kerää-mä-ä	3	kerätä	ADJ		kerää	mä-ä	Ihmisten keräämää kulttuuriperintöä osattiin siirtää eteenpäin jo ennen kirjoitustaidon kehittymistä.
vaaliuurnilta	vaali-uurn-i-lta	4	vaaliuurna	NOUN	vaali	uurn	i-lta	Iltaan mennessä äänestäjät olivatkin jo kaikonneet vaaliuurnilta.
aktivoituneet	aktivoitu-nee-t	3	aktivoitua	VERB		aktivoitu	nee-t	Immuunijärjestelmämme solut ovat aktivoituneet taistelemaan infektiota vastaan.
prosenttiyksikköä	prosentti-yksikkö-ä	3	prosenttiyksikkö	NOUN	prosentti	yksikkö	ä	Inflaatio nousi viime kuussa kaksi prosenttiyksikköä.
prosenttiin	prosentti-in	2	prosentti	NOUN		prosentti	in	Inflaatio nousi viiteen prosenttiin viime kuussa.
innostuinpas	innostu-i-n-pas	4	innostua	VERB		innostu	i-n-pas	Innostuinpas todella uudesta harrastuksestani.
kortein	korte-in	2	kortti	NOUN		korte	in	Isäni pelasi aina avoimin kortein.
jaksaisikohan	jaksa-isi-ko-han	4	jaksaa	VERB		jaksa	isi-ko-han	Jaksaisikohan hän kävellä koko matkan kotiin?
kannattajat	kannatta-ja-t	3	kannattaja	NOUN		kannatta	ja-t	Jalkapallojoukkueen kannattajat juhlivat voittoa kaupungin keskustassa.
kauden	kaude-n	2	kausi	NOUN		kaude	n	Jalkapallojoukkueen menestys on ollut kauden parasta.
jalkojen	jalko-j-en	3	jalka	NOUN		jalko	j-en	Jalkojen anatomia eroaa huomattavasti esimerkiksi sisäelinten anatomiasta.
johtuisikohan	johtu-isi-ko-han	4	johtua	VERB		johtu	isi-ko-han	Johtuisikohan tämä ongelma vanhentuneesta ohjelmistosta?
johtuiskohan	johtu-is-ko-han	4	johtua	VERB		johtu	is-ko-han	Johtuiskohan tämä ongelma vanhentuneesta ohjelmistosta?
johtuneekohan	johtu-ne-e-ko-han	5	johtua	VERB		johtu	ne-e-ko-han	Johtuneekohan tämä viivästys huonosta säästä?
lähtökohdistaan	lähtökohd-i-sta-an	4	lähtökohta	NOUN		lähtökohd	i-sta-an	Jokainen ihminen tarkastelee maailmaa omista lähtökohdistaan.
vahvuuksia	vahvuuks-i-a	3	vahvuus	NOUN		vahvuuks	i-a	Jokaisella meistä on joitain vahvuuksia.
saattaisinpas	saatta-isi-n-pas	4	saattaa	VERB		saatta	isi-n-pas	Jos olisin tiennyt, saattaisinpas toimia toisin.
lähtevät	lähte-vä-t	3	lähteä	VERB		lähte	vä-t	Junat lähtevät asemalta tunnin välein.
kalleimmillaankin	kalle-imm-i-lla-an-kin	6	kallis	ADV		kalle	imm-i-lla-an-kin	Kalleimmillaankin tämä auto on edullisempi kuin muut markkinoilla olevat mallit.
kallistuvatkohan	kallistu-va-t-ko-han	5	kallistua	VERB		kallistu	va-t-ko-han	Kallistuvatkohan nuo puut tuulen mukana?
loikki	loikk-i	2	loikki	VERB		loikk	i	Kani loikki nopeasti metsän läpi.
kannattaisikohan	kannatta-isi-ko-han	4	kannattaa	VERB		kannatta	isi-ko-han	Kannattaisikohan minun opiskella suomea?
europarlamentaarikkoa	euro-parlamentaarikko-a	3	europarlamentaarikko	NOUN	euro	parlamentaarikko	a	Kansa äänesti entistä europarlamentaarikkoa sankoin joukoin.
kehnoimmillaankin	kehno-imm-i-lla-an-kin	6	kehno	ADV		kehno	imm-i-lla-an-kin	Kehnoimmillaankin hän on parempi kuin monet muut.
keskuspankin	keskus-panki-n	3	keskuspankki	NOUN	keskus	panki	n	Keskuspankin tehtävänä on säädellä maan rahapolitiikkaa.
vuosista	vuos-i-sta	3	vuosi	NOUN		vuos	i-sta	Kiitos ihanista vuosista opiskeluaikoinamme!
kielelle	kiel-e-lle	3	kieli	NOUN		kiel	e-lle	Kirja käännettiin yli kymmenelle kielelle.
kokeilinkohan	kokeil-i-n-ko-han	5	kokeilla	VERB		kokeil	i-n-ko-han	Kokeilinkohan uutta reseptiä jo viime viikolla?
korkeimmillaankin	korkeimmi-lla-an-kin	4	korkein	ADV		korkeimmi	lla-an-kin	Korkeimmillaankin hinta oli ainoastaan muutamia kymppejä.
kovimmillaankin	kov-imm-i-lla-an-kin	6	kova	ADV		kov	imm-i-lla-an-kin	Kovimmillaankin talvella, hän käy ulkona joka päivä.
kummallakohan	kumma-lla-ko-han	4	kumpi	PRON		kumma	lla-ko-han	Kummallakohan puolella tie on kuoppaisempi?
kuorsaavatkohan	kuorsaa-va-t-ko-han	5	kuorsata	VERB		kuorsaa	va-t-ko-han	Kuorsaavatkohan he kovaa yöllä?
kuulostipas	kuulost-i-pa-s	4	kuulostaa	VERB		kuulost	i-pa-s	Kuulostipas mielenkiintoiselta!
kuulunkohan	kuulu-n-ko-han	4	kuulua	VERB		kuulu	n-ko-han	Kuulunkohan minä tähän ryhmään?
käsititköhän	käsit-i-t-kö-hän	5	käsittää	VERB		käsit	i-t-kö-hän	Käsititköhän, mitä hän juuri sanoi?
kävisköhän	käv-is-kö-hän	4	käydä	VERB		käv	is-kö-hän	Kävisköhän äidille, että kutsuisin hänet tänne väitöstilaisuuteeni.
tahtovat	tahto-va-t	3	tahtoa	VERB		tahto	va-t	Lapset tahtovat mennä ulos leikkimään.
lapsillaankaan	laps-i-lla-an-kaan	5	lapsi	NOUN		laps	i-lla-an-kaan	Lapsillaankaan ei ole ratkaisuja kaikkiin ongelmiin.
leikkivätköhän	leikki-vä-t-kö-hän	5	leikkiä	VERB		leikki	vä-t-kö-hän	Leikkivätköhän lapset jo ulkona?
nousukiitoa	nousu-kiito-a	3	nousukiito	NOUN	nousu	kiito	a	Lentokone oli menossa täyttä nousukiitoa, kun sen käskettiinkin palata takaisin.
liikepankkien	liike-pankk-i-en	4	liikepankki	NOUN	liike	pankk	i-en	Liikepankkien rooli taloudessa on merkittävä.
listataanpas	lista-taan-pas	3	listata	VERB		lista	taan-pas	Listataanpas kaikki tehtävät, jotka meidän on vielä suoritettava.
loppuisikohan	loppu-isi-ko-han	4	loppua	VERB		loppu	isi-ko-han	Loppuisikohan tämä sade pian?
lähteeköhän	lähte-e-kö-hän	4	lähteä	VERB		lähte	e-kö-hän	Lähteeköhän tästä autosta rengas irti jos painan tuosta?
löytäisinköhän	löytä-isi-n-kö-hän	5	löytää	VERB		löytä	isi-n-kö-hän	Löytäisinköhän avaimeni tästä sotkusta?
mahdatkohan	mahda-t-ko-han	4	mahtaa	VERB		mahda	t-ko-han	Mahdatkohan tietää, minne minun pitäisi mennä päästäkseni Helsinkiin?
mahtaisikohan	mahta-isi-ko-han	4	mahtaa	VERB		mahta	isi-ko-han	Mahtaisikohan hän tulla juhliin?
mahtaisinkohan	mahta-isi-n-ko-han	5	mahtaa	VERB		mahta	isi-n-ko-han	Mahtaisinkohan löytää paremman työpaikan, jos muuttaisin toiseen kaupunkiin?
mahtaiskohan	mahta-is-ko-han	4	mahtaa	VERB		mahta	is-ko-han	Mahtaiskohan hän tulla huomenna töihin?
mahtoivatkohan	mahto-i-vat-ko-han	5	mahtaa	VERB		mahto	i-vat-ko-han	Mahtoivatkohan he ymmärtää ohjeet oikein?
matalimmillaankin	matal-imm-i-lla-an-kin	6	matala	ADV		matal	imm-i-lla-an-kin	Matalimmillaankin pudotusta on yli 100 metriä.
tiiminä	tule-va-ksi	3	tiimi	NOUN		tiimi	nä	Me työskentelemme tiiminä tämän projektin parissa.
äänestämään	äänestä-mä-än	3	äänestää	VERB		äänestä	mä-än	Menemme huomenna äänestämään vaaleissa.
uurnille	uurn-i-lle	3	uurna	NOUN		uurn	i-lle	Menimme uurnille laskemaan kukkia.
merkitseeköhän	merkitse-e-kö-hän	4	merkitä	VERB		merkitse	e-kö-hän	Merkitseeköhän se, että suomen kieli on peräisin Siperiasta?
selviytyisivätköhän	selviyty-isi-vät-kö-hän	5	selviytyä	VERB		selviyty	isi-vät-kö-hän	Mietin, selviytyisivätköhän he tästä haasteesta.
millaisillakohan	millais-i-lla-ko-han	5	millainen	PRON		millais	i-lla-ko-han	Millaisillakohan perusteilla he valitsivat uuden johtajan?
miltäköhän	miltä-kö-hän	3	mikä	PRON		miltä	kö-hän	Miltäköhän se maistuu?
kysymyksiä	kysymy-ksi-ä	3	kysymys	NOUN		kysymy	ksi-ä	Minulla on muutamia kysymyksiä sinulle.
maanantaihin	maanantai-hin	2	maanantai	NOUN		maanantai	hin	Minun täytyy palauttaa kirja kirjastoon ensi maanantaihin mennessä.
tapahtunut	tapahtu-nut	2	tapahtua	VERB		tapahtu	nut	Mitä on tapahtunut sinun päiväsi aikana?
monenkohan	mone-n-ko-han	4	moni	PRON		mone	n-ko-han	Monenkohan kerran olen unohtanut avaimeni kotiin?
jääneet	jää-nee-t	3	jäädä	ADJ		jää	nee-t	Monet tehtävät ovat jääneet tekemättä.
monissa	mon-i-ssa	3	moni	DET		mon	i-ssa	Monissa maissa on erilaisia kulttuureja ja tapoja.
muistinkohan	muisti-n-ko-han	4	muistaa	VERB		muisti	n-ko-han	Muistinkohan sammuttaa kahvinkeittimen ennen kuin lähdin töihin?
soolokeikoillaankin	soolo-keiko-i-lla-an-kin	6	soolokeikka	NOUN	soolo	keiko	i-lla-an-kin	Muusikko esiintyy soolokeikoillaankin suurella intohimolla.
uraa	ura-a	2	ura	NOUN		ura	a	Muutettuaan ulkomaille, hän teki uraa lääkärinä.
keskittynyt	keskitty-nyt	2	keskittyä	ADJ		keskitty	nyt	Muuttoliike on keskittynyt tiettyihin Euroopan valtioihin enemmän kuin toisiin.
muuttuvatkohan	muuttu-va-t-ko-han	5	muuttua	VERB		muuttu	va-t-ko-han	Muuttuvatkohan sääolosuhteet huomenna paremmiksi?
napsautinpas	napsaut-i-n-pas	4	napsauttaa	VERB		napsaut	i-n-pas	Napsautinpas sähköpostin auki uteliaisuudesta.
neuvottelut	neuvottelu-t	2	neuvottelu	NOUN		neuvottelu	t	Neuvottelut alkoivat Säätytalolla maanantaina.
nopeimmillaankin	nope-imm-i-lla-an-kin	6	nopea	ADV		nope	imm-i-lla-an-kin	Nopeimmillaankin hän tarvitsee vähintään tunnin valmistautumiseen.
omistavan	omista-va-n	3	omistaa	VERB		omista	va-n	Näin siellä auton omistavan miehen.
näitköhän	nä-i-t-kö-hän	5	näitköhän	VERB		nä	i-t-kö-hän	Näitköhän sinä minun avaimeni?
näkeeköhän	näke-e-kö-hän	4	nähdä	VERB		näke	e-kö-hän	Näkeeköhän hän minut täältä?
ohittaakohan	ohitta-a-ko-han	4	ohittaa	VERB		ohitta	a-ko-han	Ohittaakohan hän minut tässä kilpailussa?
kolmesta	kolme-sta	2	kolme	NUM		kolme	sta	Ohjelmaa järjestetään joka päivä kolmesta eteenpäin.
puolueellisuusspekulaatioita	puolueellisuusspekulaatio-i-ta	3	puolueellisuusspekulaatio	NOUN	puolueellisuus	spekulaatio	i-ta	Oikeudenkäyntiin liittyi mediajulkisuudesta johtuen lukuisia puolueellisuusspekulaatioita.
tulleet	tul-lee-t	3	tulla	VERB		tul	lee-t	Olemme tulleet juhlimaan kanssasi.
hyvillä	hyv-i-llä	3	hyvä	ADJ		hyv	i-llä	Olen hyvillä mielin, koska sain työpaikan.
päiviä	päiv-i-ä	3	päivä	NOUN		päiv	i-ä	Olen ollut täällä jo useita päiviä.
antavaa	anta-va-a	3	antaa	ADJ		anta	va-a	Olen vailla tietoa antavaa lähdettä.
valinnut	valin-nut	2	valita	VERB		valin	nut	Olen valinnut sinut olemaan ystäväni.
olikohan	ol-i-ko-han	4	olla	VERB		ol	i-ko-han	Olikohan hän todella siellä?
olinkohan	ol-i-n-ko-han	5	olla	VERB		ol	i-n-ko-han	Olinkohan liian ankara hänelle?
olinpas	ol-i-n-pas	4	olla	VERB		ol	i-n-pas	Olinpas onnellinen, kun sain uuden työpaikan.
olisivatkohan	ol-isi-vat-ko-han	5	olla	VERB		ol	isi-vat-ko-han	Olisivatkohan he jo lähteneet kotiin?
olitkohan	ol-i-t-ko-han	5	olla	VERB		ol	i-t-ko-han	Olitkohan sinä eilen kaupungilla?
olivatkohan	ol-i-vat-ko-han	5	olla	VERB		ol	i-vat-ko-han	Olivatkohan he jo lähteneet kotiin?
ollaankohan	ol-laan-ko-han	4	olla	VERB		ol	laan-ko-han	Ollaankohan me jo myöhässä?
ollaanpas	ol-laan-pa-s	4	olla	VERB		ol	laan-pas	Ollaanpas me onnellisia tästä uudesta kodista.
omasta	oma-sta	2	oma	ADJ		oma	sta	Omasta mielestäni tuo on kyllä ihan käypä suunnitelma.
asioita	asio-i-ta	3	asia	NOUN		asio	i-ta	On monia asioita, joita en ymmärrä tässä maailmassa.
onko	on-ko	2	olla	VERB		on	ko	Onko Suomessa kylmää kesäisin?
onkohan	on-ko-han	3	olla	AUX		on	ko-han	Onkohan hän jo saapunut?
oonkohan	oo-n-ko-han	4	olla	VERB		oo	n-ko-han	Oonkohan unohtanut avaimeni kotiin?
tarkoitetut	tarkoitet-u-t	3	tarkoittaa	VERB		tarkoitet	u-t	Opiskeluun tarkoitetut tilat löytyvät tuolta nurkan takaa.
osaavatkohan	osaa-va-t-ko-han	5	osata	VERB		osaa	va-t-ko-han	Osaavatkohan he puhua suomea?
osaisinkohan	osa-isi-n-ko-han	5	osata	VERB		osa	isi-n-ko-han	Osaisinkohan minä koskaan oppia soittamaan pianoa?
osaisitkohan	osa-isi-t-ko-han	5	osata	VERB		osa	isi-t-ko-han	Osaisitkohan sinä auttaa minua tämän tehtävän kanssa?
osasinkohan	osas-i-n-ko-han	5	osata	VERB		osas	i-n-ko-han	Osasinkohan selittää asian tarpeeksi selkeästi?
osasinpas	osas-i-n-pas	4	osata	VERB		osas	i-n-pas	Osasinpas vain puhua suomea paremmin.
otetaanpas	ote-taan-pa-s	4	ottaa	VERB		ote	taan-pa-s	Otetaanpas hetki rennosti ja mietitään tätä rauhassa.
painaakohan	paina-a-ko-han	4	painaa	VERB		paina	a-ko-han	Painaakohan tuo nappi oikeasti jotain?
koviksi	kov-i-ksi	3	kovä	ADJ		kov	i-ksi	Pakkasen vuoksi vesi muuttui koviksi jääkuutioiksi.
paljokohan	paljo-ko-han	3	paljon	ADV		paljo	ko-han	Paljokohan toi kirja maksaa?
parlamentin	parlamenti-n	2	parlamentti	NOUN		parlamenti	n	Parlamentin jäsenet äänestivät uuden lain puolesta.
asiat	asia-t	2	asia	NOUN		asia	t	Pekka vakuutti itsensä siitä, että asiat ovat järjestyksessä.
pelkäävätköhän	pelkää-vät-kö-hän	4	pelätä	VERB		pelkää	vät-kö-hän	Pelkäävätköhän lapset pimeää?
perussuomalaisten	perussuomalais-ten	2	perussuomalainen	NOUN		perussuomalais	ten	Perussuomalaisten kannatus on kasvanut viime kuukausina.
perustuslakivaliokunnan	perustus-laki-valiokunna-n	4	perustuslakivaliokunta	NOUN	perustus-laki	valiokunna	n	Perustuslakivaliokunnan tehtävä on tarkastella lakiehdotusten perustuslainmukaisuutta.
