token	lemma	suffix	pos
ollaanpas	ollaanpas	pas	VERB
ollutkaan	olla	aan	AUX
ollutkaan	olla	aan	VERB
omasta	omasta	sta	ADJ
omasta	oma	sta	ADJ
omistavan	omistaa	van	VERB
onkohan	onkohan	han	AUX
onko	olla	nko	AUX
onko	olla	nko	AUX
oonkohan	oonkohan	han	NOUN
osaavatkohan	osaavatkohan	han	VERB
osaisinkohan	osaisinkohan	han	VERB
osaisitkohan	osaisitkohan	han	VERB
osakkeen	osake	een	NOUN
osasinkohan	osasinkohan	han	VERB
osasinpas	osasinpas	pas	VERB
osoittavinaan	osoittavinaan	aan	VERB
otetaanpas	otetaanpas	pas	VERB
otsallaankin	otsallaankin	kin	NOUN
päädyinköhän	päädyinköhän	hän	VERB
pääsisinköhän	pääsisinköhän	hän	VERB
päästäänköhän	päästäänköhän	hän	VERB
painaakohan	painaakohan	han	NOUN
päivää	päivä	vää	NOUN
päiviä	päivä	viä	NOUN
päivittäistavarakaupan	päivittäistavarakauppa	pan	NOUN
palaverin	palaveri	rin	NOUN
paljokohan	paljokohan	han	ADV
palkata	palkata	ata	VERB
parlamentin	parlamentti	tin	NOUN
parlamentin	parlamentti	tin	NOUN
pehmeä	pehmeä	meä	ADJ
pelkäävätköhän	pelkäävätköhän	hän	VERB
pelottava	pelottava	ava	ADJ
perussuomalaisen	perussuomalainen	sen	ADJ
perussuomalaisen	perussuomalainen	sen	NOUN
perussuomalaisten	perussuomalainen	ten	NOUN
perussuomalaisten	perussuomalainen	ten	NOUN
perussuomalaisten	perussuomalainen	ten	PROPN
perussuomalaisten	perussuomalaisten	ten	NOUN
perustuslakivaliokunnan	perustuslakivaliokunna	nan	NOUN
perustuslakivaliokunnan	perustuslakivaliokunta	nan	NOUN
pidelläänköhän	pidelläänköhän	hän	VERB
pidettyjen	pidettyjen	jen	VERB
pienin	piena	nin	ADJ
pienin	pieni	nin	ADJ
pitäisikö	pitää	ikö	AUX
pitäisikö	pitäisikö	ikö	AUX
pitkän	pitkä	kän	ADJ
plakkariin	plakkari	iin	NOUN
presidentinvaaleissa	presidentinvaalit	ssa	NOUN
prosenttiin	prosentti	iin	NOUN
prosenttiyksikköä	prosenttiyksikkö	köä	NOUN
punaviinien	punaviini	ien	NOUN
punaviinien	punaviini	ien	NOUN
puolestaan	puolestaan	aan	ADV
puolueellisuusspekulaatioita	puolueellisuusspekulaatio	ita	NOUN
puoluekokouksessa	puoluekokous	ssa	NOUN
pystyisinköhän	pystyisinköhän	hän	VERB
pystyisköhän	pystyisköhän	hän	AUX
raha-asioiden	raha-asioiden	den	NOUN
rakensivat	rakentaa	vat	VERB
raskaimmillaankin	raskaimmillaankin	kin	ADJ
ratkaisua	ratkaisu	sua	NOUN
robusti	robusti	sti	ADV
rohkea	rohkea	kea	ADJ
rohkeimmillaankin	rohkeimmillaankin	kin	NOUN
roteva	roteva	eva	ADJ
rumpusooloillaankin	rumpusooloillaan	kin	ADV
säännönmukaisuuksia	säännönmukaisuus	sia	NOUN
säätöä	säätö	töä	NOUN
saattaisinpas	saattaisinpas	pas	VERB
saavatkohan	saavatkohan	han	VERB
sainkohan	sainkohan	han	VERB
sainpas	sainpas	pas	VERB
saitkohan	saitkohan	han	VERB
salaukset	salauknen	set	NOUN
sanoinkohan	sanoinkohan	han	VERB
sanoiskohan	sanoiskohan	han	VERB
sanotaanpas	sanotaanpas	pas	VERB
satoihin	sata	hin	NUM
seitsemältä	seitsemä	ltä	NUM
selviävätköhän	selviävätköhän	hän	VERB
selviytyisivätköhän	selviytyisivätköhän	hän	VERB
sileä	sileä	leä	ADJ
silloisesta	silloinen	sta	ADJ
silmiään	silmä	ään	NOUN
siskollaankin	siskollaankin	kin	NOUN
soitellaankin	soitellaankin	kin	VERB
soolokeikoillaankin	soolokeikoillaankin	kin	NOUN
sosiaalisen	sosiaalinen	sen	ADJ
suhteutettuna	suhteutettuna	una	VERB
suhteutettuna	suhteuttaa	una	VERB
suojattinsa	suojatti	nsa	NOUN
suomalaisäänestäjistä	suomalaisäänestäjistä	stä	NOUN
suomalaisäänestäjistä	suomalaisäänestäjistä	stä	NOUN
suosituin	suosittu	uin	ADJ
surullinen	surullinen	nen	ADJ
suunnittelevatkohan	suunnittelevatkoha	han	ADV
suuren	suuri	ren	ADJ
suuren	suuri	ren	ADJ
suurimmillaankin	suurimmillaankin	kin	ADJ
syyskuussakohan	syyskuussakohan	han	ADV
taakseen	taakse	een	ADP
taakseen	taakse	een	ADV
tahtovat	tahtoa	vat	AUX
tahtovat	tahtoa	vat	VERB
tajusivatkohan	tajusivatkohan	han	VERB
tapahtunut	tapahtua	nut	VERB
tarkoitetut	tarkoittaa	tut	VERB
tarvinneekohan	tarvinneekohan	han	ADV
täyttäviä	täyttävä	viä	ADJ
tehdään	tehdä	ään	VERB
tehtävätkin	tehtävä	kin	NOUN
tehtävätkin	tehtävätkin	kin	NOUN
tehtäviä	tehtävä	viä	NOUN
tekemään	tehdä	ään	VERB
tiedätteköhän	tiedätteköhän	hän	ADV
tietokoneella	tietokone	lla	NOUN
tietokoneohjelmien	tietokoneohjelma	ien	NOUN
tietoverkkojen	tietoverkkojen	jen	NOUN
tietoverkkojen	tietoverkko	jen	NOUN
tiiminä	tiimi	inä	ADJ
tiiminä	tiimi	inä	NOUN
tilanneet	tilana	eet	VERB
tilanneet	tilanä	eet	VERB
tilintarkastustuomioistuimeen	tilintarkastustuomioistuimeen	een	NOUN
todennäköisenä	todennäköinen	enä	ADJ
toimiiko	toimiiko	iko	AUX
toimiiko	toimiiko	iko	VERB
toukokuun	toukokuu	uun	NOUN
toukokuun	toukokuu	uun	NOUN
tulevaksi	tulea	ksi	VERB
tulevaksi	tulevaksi	ksi	VERB
tulinpas	tulinpas	pas	VERB
tulkaapas	tulkaapas	pas	VERB
tulleet	tulla	eet	VERB
tuotevalikoiman	tuotevalikoima	man	NOUN
tutkijanuraa	tutkijanura	raa	NOUN
ulkoasiainvaliokunnan	ulkoasiainvaliokunta	nan	NOUN
unohtivatkohan	unohtivatkohan	han	ADV
unohtuukohan	unohtuukohan	han	VERB
uraa	ura	raa	NOUN
uudella	uusi	lla	ADJ
uurnille	uurna	lle	NOUN
uusia	uusi	sia	ADJ
vaalikaudella	vaalikaudella	lla	NOUN
vaalikaudella	vaalikaude	lla	NOUN
vaaliuurnilta	vaaliuurna	lta	NOUN
vaaliuurnilta	vaaliuurni	lta	NOUN
väen	väen	äen	NOUN
väen	väe	äen	PROPN
vähäisiä	vähäinen	siä	ADJ
vahvuuksia	vahvuus	sia	NOUN
vaikutusvaltaisimman	vaikutusvaltaisimma	man	ADJ
vaikutusvaltaisimman	vaikutusvaltaisimma	man	NOUN
väitöskirjantekijöiden	väitöskirjantekijöiden	den	NOUN
väitöskirjantekijöiden	väitöskirjantekijöiden	den	NOUN
vaivautunut	vaivautua	nut	VERB
valinnut	valita	nut	VERB
vanhimmillaankin	vanhimmillaankin	kin	ADV
vasemmistoliitolle	vasemmistoliitolle	lle	NOUN
vasemmistoliitolle	vasemmistoliitolle	lle	PROPN
vasemmistoliitolle	vasemmistoliito	lle	NOUN
vasemmiston	vasemmisto	ton	NOUN
vasemmiston	vasemmisto	ton	PROPN
vieraaksi	vieraa	ksi	NOUN
viestivät	viestiä	vät	VERB
vihainen	vihainen	nen	ADJ
voisivatkohan	voisivatkohan	han	AUX
voitaisiinkohan	voitaisiinkohan	han	AUX
voivatkohan	voivatkohan	han	VERB
vuoksi	vuoksi	ksi	ADP
vuosista	vuosi	sta	NOUN
vuosista	vuos	sta	NOUN
yksinkertaisella	yksinkertainen	lla	ADJ
yksinkertaista	yksinkertainen	sta	ADJ
yliopistojen	yliopistojen	jen	NOUN
yliopistojen	yliopisto	jen	NOUN
ymmärtänyt	ymmärtää	nyt	VERB
yöpaikka	yöpaikka	kka	NOUN
